CandidateName,AppliedRole,InterviewStage,Interviewer,InterviewDate,CommunicationScore,TechnicalScore,FeedbackText,Recommended,PanelistFatigueFlag
Candidate 274,Data Scientist,Managerial Interview,Panelist 12,2025-10-05,10.0,8.0,Struggled with edge cases in coding round.,Yes,No
Candidate 275,Data Scientist,Technical Interview,Panelist 18,2025-10-25,10.0,5.0,"Strong problem-solving, explained system design well.",No,No
Candidate 275,Data Scientist,Managerial Interview,Panelist 22,2025-10-26,10.0,9.0,"Strong problem-solving, explained system design well.",Yes,Yes
Candidate 276,Data Scientist,Technical Interview,Panelist 9,2025-10-01,7.0,3.0,Struggled with edge cases in coding round.,No,No
Candidate 276,Data Scientist,Managerial Interview,Panelist 16,2025-10-05,5.0,6.0,"Strong problem-solving, explained system design well.",No,No
Candidate 277,Data Scientist,Technical Interview,Panelist 16,2025-10-04,6.0,5.0,Struggled with edge cases in coding round.,Maybe,Yes
Candidate 277,Data Scientist,Managerial Interview,Panelist 18,2025-10-11,3.0,3.0,"Strong problem-solving, explained DP well.",No,No
Candidate 278,Data Scientist,Technical Interview,Panelist 16,2025-11-12,6.0,6.0,Struggled with edge cases in coding round.,Maybe,Yes
Candidate 278,Data Scientist,Managerial Interview,Panelist 9,2025-11-16,3.0,8.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 279,Data Scientist,Technical Interview,Panelist 14,2025-09-11,7.0,3.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 279,Data Scientist,Managerial Interview,Panelist 10,2025-09-18,7.0,6.0,"Strong problem-solving, explained API design well.",No,No
Candidate 281,Data Scientist,Technical Interview,Panelist 3,2025-10-25,3.0,4.0,"Strong problem-solving, explained system design well.",No,No
Candidate 281,Data Scientist,Managerial Interview,Panelist 20,2025-10-27,3.0,3.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 282,Data Scientist,Technical Interview,Panelist 15,2025-10-16,7.0,6.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 282,Data Scientist,Managerial Interview,Panelist 24,2025-10-23,10.0,8.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 283,Data Scientist,Technical Interview,Panelist 22,2025-09-15,8.0,5.0,Needs improvement in communication.,Yes,Yes
Candidate 283,Data Scientist,Managerial Interview,Panelist 16,2025-09-19,5.0,4.0,Needs improvement in communication.,Yes,Yes
Candidate 284,Data Scientist,Technical Interview,Panelist 20,2025-09-10,5.0,6.0,"Strong problem-solving, explained system design well.",No,No
Candidate 284,Data Scientist,Managerial Interview,Panelist 8,2025-09-12,8.0,8.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 285,Data Scientist,Technical Interview,Panelist 19,2025-10-30,5.0,10.0,"Great cultural fit, asked thoughtful questions.",Maybe,Yes
Candidate 285,Data Scientist,Managerial Interview,Panelist 5,2025-11-02,8.0,6.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 286,Data Scientist,Technical Interview,Panelist 1,2025-10-26,10.0,8.0,"Strong problem-solving, explained system design well.",Yes,No
Candidate 286,Data Scientist,Managerial Interview,Panelist 15,2025-10-28,7.0,6.0,"Strong problem-solving, explained API design well.",No,No
Candidate 287,Data Scientist,Technical Interview,Panelist 23,2025-11-14,7.0,10.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 287,Data Scientist,Managerial Interview,Panelist 10,2025-11-20,10.0,9.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 288,Data Scientist,Technical Interview,Panelist 10,2025-11-10,10.0,10.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 288,Data Scientist,Managerial Interview,Panelist 21,2025-11-15,8.0,9.0,Needs improvement in code clarity.,No,No
Candidate 289,Data Scientist,Technical Interview,Panelist 23,2025-11-13,9.0,10.0,Struggled with edge cases in coding round.,No,No
Candidate 289,Data Scientist,Managerial Interview,Panelist 7,2025-11-18,10.0,10.0,Struggled with edge cases in coding round.,Yes,No
Candidate 289,Data Scientist,Offer,HR Team,2025-11-25,,,Declined due to delays in process.,N/A,No
Candidate 290,Data Scientist,Technical Interview,Panelist 23,2025-09-16,5.0,8.0,"Strong problem-solving, explained API design well.",Yes,No
Candidate 291,Data Scientist,Technical Interview,Panelist 5,2025-09-13,9.0,10.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 291,Data Scientist,Managerial Interview,Panelist 5,2025-09-17,9.0,10.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 292,Data Scientist,Technical Interview,Panelist 11,2025-10-09,9.0,7.0,Struggled with edge cases in coding round.,Yes,No
Candidate 293,Data Scientist,Technical Interview,Panelist 18,2025-11-05,9.0,4.0,"Strong problem-solving, explained API design well.",No,No
Candidate 293,Data Scientist,Managerial Interview,Panelist 6,2025-11-07,7.0,6.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 294,Data Scientist,Technical Interview,Panelist 11,2025-10-20,6.0,6.0,Struggled with edge cases in coding round.,No,No
Candidate 294,Data Scientist,Managerial Interview,Panelist 1,2025-10-26,5.0,6.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 294,Data Scientist,Offer,HR Team,2025-11-03,,,Declined due to delays in process.,N/A,No
Candidate 295,Data Scientist,Technical Interview,Panelist 1,2025-10-22,7.0,10.0,Needs improvement in code clarity.,Yes,No
Candidate 295,Data Scientist,Managerial Interview,Panelist 10,2025-10-28,8.0,10.0,"Strong problem-solving, explained system design well.",No,No
Candidate 296,Data Scientist,Technical Interview,Panelist 8,2025-10-01,6.0,5.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 296,Data Scientist,Managerial Interview,Panelist 16,2025-10-08,6.0,10.0,Needs improvement in code clarity.,Maybe,Yes
Candidate 299,Data Scientist,Technical Interview,Panelist 24,2025-11-05,6.0,9.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 299,Data Scientist,Managerial Interview,Panelist 6,2025-11-06,7.0,6.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 300,Data Scientist,Technical Interview,Panelist 1,2025-10-01,8.0,10.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 300,Data Scientist,Managerial Interview,Panelist 10,2025-10-02,8.0,7.0,"Strong problem-solving, explained system design well.",Yes,No
Candidate 303,Data Scientist,Technical Interview,Panelist 9,2025-11-04,6.0,9.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 303,Data Scientist,Managerial Interview,Panelist 14,2025-11-10,6.0,9.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 304,Data Scientist,Technical Interview,Panelist 12,2025-10-18,10.0,6.0,Needs improvement in time complexity.,No,No
Candidate 305,Data Scientist,Technical Interview,Panelist 1,2025-09-18,10.0,6.0,Needs improvement in communication.,Maybe,No
Candidate 306,Data Scientist,Technical Interview,Panelist 18,2025-09-26,8.0,9.0,Excellent domain knowledge in ML pipelines.,Maybe,Yes
Candidate 308,Data Scientist,Technical Interview,Panelist 24,2025-10-04,7.0,5.0,Needs improvement in code clarity.,Yes,No
Candidate 308,Data Scientist,Managerial Interview,Panelist 25,2025-10-08,6.0,4.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 309,Data Scientist,Technical Interview,Panelist 12,2025-11-04,6.0,9.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 309,Data Scientist,Managerial Interview,Panelist 6,2025-11-11,6.0,5.0,Needs improvement in time complexity.,Maybe,No
Candidate 311,Data Scientist,Technical Interview,Panelist 21,2025-10-09,4.0,5.0,"Strong problem-solving, explained system design well.",Maybe,Yes
Candidate 311,Data Scientist,Managerial Interview,Panelist 5,2025-10-15,7.0,3.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 313,Data Scientist,Technical Interview,Panelist 11,2025-09-15,7.0,10.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 313,Data Scientist,Managerial Interview,Panelist 23,2025-09-21,8.0,7.0,Needs improvement in time complexity.,Yes,No
Candidate 314,Data Scientist,Technical Interview,Panelist 17,2025-09-22,7.0,10.0,Excellent domain knowledge in ML pipelines.,No,Yes
Candidate 314,Data Scientist,Managerial Interview,Panelist 16,2025-09-28,9.0,7.0,Excellent domain knowledge in ML pipelines.,Yes,Yes
Candidate 315,Data Scientist,Technical Interview,Panelist 10,2025-10-30,5.0,10.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 316,Data Scientist,Technical Interview,Panelist 1,2025-09-14,8.0,8.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 316,Data Scientist,Managerial Interview,Panelist 13,2025-09-17,4.0,7.0,Needs improvement in communication.,Maybe,No
Candidate 317,Data Scientist,Technical Interview,Panelist 6,2025-10-25,6.0,3.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 317,Data Scientist,Managerial Interview,Panelist 20,2025-10-27,3.0,3.0,Needs improvement in time complexity.,No,No
Candidate 318,Data Scientist,Technical Interview,Panelist 3,2025-09-14,7.0,3.0,"Strong problem-solving, explained system design well.",No,No
Candidate 319,Data Scientist,Technical Interview,Panelist 9,2025-10-22,9.0,9.0,Needs improvement in time complexity.,Yes,No
Candidate 319,Data Scientist,Managerial Interview,Panelist 23,2025-10-23,8.0,10.0,Struggled with edge cases in coding round.,No,Yes
Candidate 320,Data Scientist,Technical Interview,Panelist 16,2025-11-06,10.0,10.0,Excellent domain knowledge in ML pipelines.,Maybe,Yes
Candidate 320,Data Scientist,Managerial Interview,Panelist 21,2025-11-11,10.0,8.0,"Strong problem-solving, explained system design well.",Maybe,Yes
Candidate 321,Data Scientist,Technical Interview,Panelist 9,2025-10-14,10.0,10.0,Needs improvement in time complexity.,Maybe,No
Candidate 321,Data Scientist,Managerial Interview,Panelist 24,2025-10-16,8.0,9.0,"Strong problem-solving, explained DP well.",Yes,No
Candidate 322,Data Scientist,Technical Interview,Panelist 11,2025-11-05,10.0,10.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 323,Data Scientist,Technical Interview,Panelist 13,2025-09-20,7.0,10.0,"Strong problem-solving, explained DP well.",Yes,No
Candidate 323,Data Scientist,Managerial Interview,Panelist 1,2025-09-24,8.0,10.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 323,Data Scientist,Offer,HR Team,2025-10-01,,,Declined due to compensation mismatch.,N/A,No
Candidate 324,Data Scientist,Technical Interview,Panelist 17,2025-10-08,7.0,10.0,Excellent domain knowledge in ML pipelines.,Maybe,Yes
Candidate 324,Data Scientist,Managerial Interview,Panelist 19,2025-10-09,10.0,10.0,Needs improvement in time complexity.,Maybe,Yes
Candidate 325,Data Scientist,Technical Interview,Panelist 14,2025-09-11,3.0,4.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 325,Data Scientist,Managerial Interview,Panelist 2,2025-09-13,8.0,4.0,"Strong problem-solving, explained system design well.",No,No
Candidate 326,Data Scientist,Technical Interview,Panelist 21,2025-11-02,10.0,10.0,"Great cultural fit, asked thoughtful questions.",No,Yes
Candidate 326,Data Scientist,Managerial Interview,Panelist 2,2025-11-05,10.0,6.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 328,Data Scientist,Technical Interview,Panelist 4,2025-11-04,5.0,5.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 328,Data Scientist,Managerial Interview,Panelist 20,2025-11-08,6.0,6.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 328,Data Scientist,Offer,HR Team,2025-11-14,,,Declined due to offer declined - better opportunity.,N/A,No
Candidate 329,Data Scientist,Technical Interview,Panelist 5,2025-10-27,4.0,5.0,"Great cultural fit, asked thoughtful questions.",Maybe,Yes
Candidate 329,Data Scientist,Managerial Interview,Panelist 16,2025-10-29,7.0,5.0,Excellent domain knowledge in ML pipelines.,Maybe,Yes
Candidate 330,Data Scientist,Technical Interview,Panelist 7,2025-11-03,7.0,6.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 330,Data Scientist,Managerial Interview,Panelist 14,2025-11-06,8.0,9.0,Needs improvement in code clarity.,Yes,No
Candidate 330,Data Scientist,Offer,HR Team,2025-11-16,,,Declined due to delays in process.,N/A,No
Candidate 331,Data Scientist,Technical Interview,Panelist 7,2025-09-06,9.0,3.0,"Strong problem-solving, explained system design well.",Yes,No
Candidate 331,Data Scientist,Managerial Interview,Panelist 24,2025-09-09,3.0,8.0,Needs improvement in communication.,Yes,No
Candidate 332,Data Scientist,Technical Interview,Panelist 20,2025-10-09,10.0,7.0,Needs improvement in communication.,Yes,Yes
Candidate 333,Data Scientist,Technical Interview,Panelist 5,2025-10-14,3.0,5.0,Excellent domain knowledge in ML pipelines.,Maybe,Yes
Candidate 333,Data Scientist,Managerial Interview,Panelist 16,2025-10-15,6.0,6.0,Struggled with edge cases in coding round.,Maybe,Yes
Candidate 335,Data Scientist,Technical Interview,Panelist 3,2025-10-17,6.0,8.0,"Great cultural fit, asked thoughtful questions.",Yes,Yes
Candidate 335,Data Scientist,Managerial Interview,Panelist 11,2025-10-22,8.0,6.0,Struggled with edge cases in coding round.,No,No
Candidate 336,Data Scientist,Technical Interview,Panelist 9,2025-09-18,8.0,7.0,"Strong problem-solving, explained DP well.",Maybe,Yes
Candidate 337,Data Scientist,Technical Interview,Panelist 18,2025-10-14,6.0,10.0,"Great cultural fit, asked thoughtful questions.",No,Yes
Candidate 337,Data Scientist,Managerial Interview,Panelist 21,2025-10-21,9.0,10.0,Needs improvement in code clarity.,Yes,Yes
Candidate 338,Data Scientist,Technical Interview,Panelist 15,2025-09-22,10.0,9.0,Needs improvement in time complexity.,No,Yes
Candidate 340,Data Scientist,Technical Interview,Panelist 7,2025-10-22,9.0,8.0,Struggled with edge cases in coding round.,Yes,No
Candidate 340,Data Scientist,Managerial Interview,Panelist 10,2025-10-28,9.0,9.0,"Strong problem-solving, explained API design well.",Maybe,No
Candidate 341,Data Scientist,Technical Interview,Panelist 13,2025-11-16,8.0,7.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 341,Data Scientist,Managerial Interview,Panelist 7,2025-11-23,7.0,7.0,Struggled with edge cases in coding round.,Yes,No
Candidate 342,Data Scientist,Technical Interview,Panelist 16,2025-11-09,5.0,8.0,"Great cultural fit, asked thoughtful questions.",Maybe,Yes
Candidate 342,Data Scientist,Managerial Interview,Panelist 23,2025-11-15,8.0,6.0,Needs improvement in code clarity.,Yes,Yes
Candidate 343,Data Scientist,Technical Interview,Panelist 7,2025-10-18,10.0,10.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 343,Data Scientist,Managerial Interview,Panelist 11,2025-10-25,8.0,8.0,"Strong problem-solving, explained DP well.",No,No
Candidate 344,Data Scientist,Technical Interview,Panelist 15,2025-09-11,9.0,8.0,Struggled with edge cases in coding round.,Yes,Yes
Candidate 344,Data Scientist,Managerial Interview,Panelist 6,2025-09-13,9.0,5.0,"Strong problem-solving, explained DP well.",Maybe,No
Candidate 345,Data Scientist,Technical Interview,Panelist 21,2025-10-10,9.0,9.0,"Strong problem-solving, explained API design well.",No,Yes
Candidate 345,Data Scientist,Managerial Interview,Panelist 1,2025-10-15,5.0,9.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 347,Data Scientist,Technical Interview,Panelist 4,2025-10-21,9.0,9.0,"Strong problem-solving, explained system design well.",No,Yes
Candidate 349,Data Scientist,Technical Interview,Panelist 20,2025-09-22,7.0,8.0,Needs improvement in time complexity.,No,Yes
Candidate 349,Data Scientist,Managerial Interview,Panelist 11,2025-09-28,10.0,10.0,"Strong problem-solving, explained DP well.",Maybe,No
Candidate 350,Data Scientist,Technical Interview,Panelist 20,2025-09-08,7.0,7.0,Needs improvement in code clarity.,Yes,Yes
Candidate 350,Data Scientist,Managerial Interview,Panelist 24,2025-09-10,3.0,3.0,Needs improvement in code clarity.,No,Yes
Candidate 350,Data Scientist,Offer,HR Team,2025-09-17,,,Declined due to compensation mismatch.,N/A,No
Candidate 351,Data Scientist,Technical Interview,Panelist 20,2025-09-11,7.0,7.0,"Strong problem-solving, explained DP well.",Yes,Yes
Candidate 352,Data Scientist,Technical Interview,Panelist 17,2025-10-04,8.0,6.0,Needs improvement in communication.,Yes,Yes
Candidate 352,Data Scientist,Managerial Interview,Panelist 10,2025-10-07,3.0,3.0,Struggled with edge cases in coding round.,Yes,No
Candidate 353,Data Scientist,Technical Interview,Panelist 18,2025-09-09,6.0,10.0,Struggled with edge cases in coding round.,No,Yes
Candidate 353,Data Scientist,Managerial Interview,Panelist 16,2025-09-14,10.0,10.0,Needs improvement in communication.,Yes,Yes
Candidate 353,Data Scientist,Offer,HR Team,2025-09-24,,,Declined due to delays in process.,N/A,No
Candidate 354,Data Scientist,Technical Interview,Panelist 13,2025-10-15,10.0,9.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 354,Data Scientist,Managerial Interview,Panelist 23,2025-10-18,10.0,10.0,Needs improvement in time complexity.,Yes,Yes
Candidate 356,Data Scientist,Technical Interview,Panelist 10,2025-09-21,4.0,7.0,"Great cultural fit, asked thoughtful questions.",Maybe,Yes
Candidate 356,Data Scientist,Managerial Interview,Panelist 3,2025-09-27,9.0,8.0,"Great cultural fit, asked thoughtful questions.",Maybe,Yes
Candidate 357,Data Scientist,Technical Interview,Panelist 7,2025-10-28,5.0,4.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 358,Data Scientist,Technical Interview,Panelist 3,2025-10-27,6.0,8.0,Excellent domain knowledge in ML pipelines.,Yes,Yes
Candidate 358,Data Scientist,Managerial Interview,Panelist 1,2025-10-28,10.0,8.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 359,Data Scientist,Technical Interview,Panelist 13,2025-10-23,7.0,9.0,"Strong problem-solving, explained system design well.",Yes,Yes
Candidate 359,Data Scientist,Managerial Interview,Panelist 5,2025-10-29,10.0,10.0,Needs improvement in code clarity.,No,Yes
Candidate 360,Data Scientist,Technical Interview,Panelist 16,2025-10-28,7.0,10.0,Struggled with edge cases in coding round.,No,Yes
Candidate 360,Data Scientist,Managerial Interview,Panelist 24,2025-10-29,7.0,10.0,Excellent domain knowledge in ML pipelines.,Maybe,Yes
Candidate 360,Data Scientist,Offer,HR Team,2025-11-02,,,Declined due to cultural misfit.,N/A,No
Candidate 361,Data Scientist,Technical Interview,Panelist 14,2025-11-17,8.0,9.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 361,Data Scientist,Managerial Interview,Panelist 4,2025-11-23,9.0,6.0,Struggled with edge cases in coding round.,Yes,Yes
Candidate 362,Data Scientist,Technical Interview,Panelist 4,2025-10-29,5.0,7.0,Excellent domain knowledge in ML pipelines.,Yes,Yes
Candidate 363,Data Scientist,Technical Interview,Panelist 25,2025-09-06,8.0,7.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 363,Data Scientist,Managerial Interview,Panelist 15,2025-09-11,10.0,8.0,Struggled with edge cases in coding round.,Maybe,Yes
Candidate 363,Data Scientist,Offer,HR Team,2025-09-20,,,Declined due to delays in process.,N/A,No
Candidate 364,Data Scientist,Technical Interview,Panelist 10,2025-09-25,9.0,8.0,Needs improvement in communication.,Maybe,Yes
Candidate 364,Data Scientist,Managerial Interview,Panelist 2,2025-10-01,10.0,8.0,Struggled with edge cases in coding round.,No,No
Candidate 365,Data Scientist,Technical Interview,Panelist 18,2025-10-30,3.0,6.0,"Great cultural fit, asked thoughtful questions.",No,Yes
Candidate 365,Data Scientist,Managerial Interview,Panelist 23,2025-11-03,7.0,3.0,Needs improvement in communication.,Maybe,Yes
Candidate 366,Data Scientist,Technical Interview,Panelist 21,2025-09-15,8.0,10.0,Struggled with edge cases in coding round.,Yes,Yes
Candidate 366,Data Scientist,Managerial Interview,Panelist 10,2025-09-19,8.0,5.0,Struggled with edge cases in coding round.,Maybe,Yes
Candidate 367,Data Scientist,Technical Interview,Panelist 16,2025-09-26,10.0,9.0,Struggled with edge cases in coding round.,No,Yes
Candidate 367,Data Scientist,Managerial Interview,Panelist 19,2025-09-29,10.0,10.0,Needs improvement in time complexity.,No,Yes
Candidate 368,Data Scientist,Technical Interview,Panelist 25,2025-11-08,8.0,3.0,Excellent domain knowledge in ML pipelines.,Maybe,Yes
Candidate 368,Data Scientist,Managerial Interview,Panelist 11,2025-11-15,9.0,8.0,Needs improvement in time complexity.,Yes,No
Candidate 370,Data Scientist,Technical Interview,Panelist 18,2025-09-28,6.0,9.0,Needs improvement in communication.,Yes,Yes
Candidate 370,Data Scientist,Managerial Interview,Panelist 7,2025-10-05,10.0,8.0,"Great cultural fit, asked thoughtful questions.",No,Yes
Candidate 370,Data Scientist,Offer,HR Team,2025-10-12,,,Declined due to cultural misfit.,N/A,No
Candidate 371,Data Scientist,Technical Interview,Panelist 7,2025-10-01,8.0,9.0,Excellent domain knowledge in ML pipelines.,Yes,Yes
Candidate 371,Data Scientist,Managerial Interview,Panelist 14,2025-10-08,7.0,6.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 371,Data Scientist,Offer,HR Team,2025-10-15,,,Declined due to delays in process.,N/A,No
Candidate 373,Data Scientist,Technical Interview,Panelist 4,2025-11-12,5.0,7.0,"Great cultural fit, asked thoughtful questions.",Maybe,Yes
Candidate 373,Data Scientist,Managerial Interview,Panelist 20,2025-11-17,6.0,8.0,"Great cultural fit, asked thoughtful questions.",Yes,Yes
Candidate 374,Data Scientist,Technical Interview,Panelist 14,2025-10-30,5.0,8.0,"Strong problem-solving, explained DP well.",No,No
Candidate 374,Data Scientist,Managerial Interview,Panelist 21,2025-10-31,10.0,10.0,Excellent domain knowledge in ML pipelines.,Yes,Yes
Candidate 375,Data Scientist,Technical Interview,Panelist 23,2025-11-14,4.0,3.0,Excellent domain knowledge in ML pipelines.,Maybe,Yes
Candidate 375,Data Scientist,Managerial Interview,Panelist 22,2025-11-16,5.0,7.0,"Strong problem-solving, explained DP well.",No,Yes
Candidate 375,Data Scientist,Offer,HR Team,2025-11-20,,,Declined due to delays in process.,N/A,No
Candidate 376,Data Scientist,Technical Interview,Panelist 13,2025-09-24,5.0,7.0,"Strong problem-solving, explained API design well.",No,Yes
Candidate 376,Data Scientist,Managerial Interview,Panelist 12,2025-09-25,7.0,5.0,"Strong problem-solving, explained system design well.",Yes,Yes
Candidate 377,Data Scientist,Technical Interview,Panelist 12,2025-11-08,7.0,7.0,Struggled with edge cases in coding round.,Maybe,Yes
Candidate 379,Data Scientist,Technical Interview,Panelist 22,2025-10-03,9.0,9.0,Struggled with edge cases in coding round.,Yes,Yes
Candidate 380,Data Scientist,Technical Interview,Panelist 20,2025-10-21,5.0,3.0,Struggled with edge cases in coding round.,Yes,Yes
Candidate 380,Data Scientist,Managerial Interview,Panelist 24,2025-10-23,3.0,5.0,Needs improvement in code clarity.,Maybe,Yes
Candidate 381,Data Scientist,Technical Interview,Panelist 14,2025-09-23,10.0,9.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 381,Data Scientist,Managerial Interview,Panelist 8,2025-09-25,8.0,7.0,"Strong problem-solving, explained API design well.",No,No
Candidate 382,Data Scientist,Technical Interview,Panelist 12,2025-10-21,8.0,9.0,Excellent domain knowledge in ML pipelines.,Yes,Yes
Candidate 382,Data Scientist,Managerial Interview,Panelist 24,2025-10-24,9.0,6.0,"Great cultural fit, asked thoughtful questions.",Yes,Yes
Candidate 383,Data Scientist,Technical Interview,Panelist 10,2025-09-29,10.0,9.0,Needs improvement in time complexity.,Yes,Yes
Candidate 383,Data Scientist,Managerial Interview,Panelist 9,2025-10-05,4.0,10.0,"Great cultural fit, asked thoughtful questions.",No,Yes
Candidate 384,Data Scientist,Technical Interview,Panelist 5,2025-11-06,3.0,9.0,Needs improvement in time complexity.,Maybe,Yes
Candidate 384,Data Scientist,Managerial Interview,Panelist 17,2025-11-11,6.0,4.0,Excellent domain knowledge in ML pipelines.,No,Yes
Candidate 386,Data Scientist,Technical Interview,Panelist 2,2025-10-11,5.0,5.0,"Strong problem-solving, explained DP well.",Yes,No
Candidate 386,Data Scientist,Managerial Interview,Panelist 11,2025-10-14,9.0,8.0,Needs improvement in code clarity.,No,Yes
Candidate 387,Data Scientist,Technical Interview,Panelist 13,2025-11-21,10.0,10.0,Excellent domain knowledge in ML pipelines.,Maybe,Yes
Candidate 387,Data Scientist,Managerial Interview,Panelist 9,2025-11-24,8.0,10.0,Struggled with edge cases in coding round.,Yes,Yes
Candidate 388,Data Scientist,Technical Interview,Panelist 6,2025-10-02,10.0,7.0,Needs improvement in time complexity.,Yes,No
Candidate 388,Data Scientist,Managerial Interview,Panelist 21,2025-10-06,10.0,9.0,"Strong problem-solving, explained API design well.",Maybe,Yes
Candidate 388,Data Scientist,Offer,HR Team,2025-10-13,,,Declined due to offer declined - better opportunity.,N/A,No
Candidate 390,Data Scientist,Technical Interview,Panelist 11,2025-09-19,8.0,10.0,"Great cultural fit, asked thoughtful questions.",Maybe,Yes
Candidate 391,Data Scientist,Technical Interview,Panelist 21,2025-10-28,8.0,5.0,"Strong problem-solving, explained API design well.",No,Yes
Candidate 392,Data Scientist,Technical Interview,Panelist 14,2025-09-13,7.0,9.0,Needs improvement in code clarity.,Maybe,Yes
Candidate 392,Data Scientist,Managerial Interview,Panelist 12,2025-09-16,10.0,8.0,"Great cultural fit, asked thoughtful questions.",No,Yes
Candidate 393,Data Scientist,Technical Interview,Panelist 11,2025-11-06,10.0,9.0,"Great cultural fit, asked thoughtful questions.",No,Yes
Candidate 393,Data Scientist,Managerial Interview,Panelist 20,2025-11-10,8.0,8.0,Struggled with edge cases in coding round.,No,Yes
Candidate 394,Data Scientist,Technical Interview,Panelist 18,2025-10-03,7.0,8.0,"Great cultural fit, asked thoughtful questions.",No,Yes
Candidate 394,Data Scientist,Managerial Interview,Panelist 5,2025-10-10,7.0,9.0,Needs improvement in code clarity.,Yes,Yes
Candidate 395,Data Scientist,Technical Interview,Panelist 6,2025-11-05,6.0,8.0,"Strong problem-solving, explained DP well.",Yes,No
Candidate 395,Data Scientist,Managerial Interview,Panelist 25,2025-11-07,7.0,8.0,"Great cultural fit, asked thoughtful questions.",No,Yes
Candidate 396,Data Scientist,Technical Interview,Panelist 15,2025-09-13,6.0,8.0,"Great cultural fit, asked thoughtful questions.",Maybe,Yes
Candidate 396,Data Scientist,Managerial Interview,Panelist 3,2025-09-16,4.0,9.0,Needs improvement in time complexity.,No,Yes
Candidate 396,Data Scientist,Offer,HR Team,2025-09-23,,,Declined due to cultural misfit.,N/A,No
Candidate 397,Data Scientist,Technical Interview,Panelist 3,2025-10-26,7.0,6.0,Needs improvement in communication.,No,Yes
Candidate 399,Data Scientist,Technical Interview,Panelist 25,2025-10-16,9.0,7.0,"Strong problem-solving, explained DP well.",No,Yes
Candidate 399,Data Scientist,Managerial Interview,Panelist 17,2025-10-17,9.0,9.0,Struggled with edge cases in coding round.,Maybe,Yes
Candidate 401,Data Scientist,Technical Interview,Panelist 11,2025-10-04,5.0,7.0,Excellent domain knowledge in ML pipelines.,No,Yes
Candidate 401,Data Scientist,Managerial Interview,Panelist 13,2025-10-10,8.0,8.0,Needs improvement in communication.,Maybe,Yes
Candidate 402,Data Scientist,Technical Interview,Panelist 12,2025-09-19,10.0,10.0,Struggled with edge cases in coding round.,No,Yes
Candidate 402,Data Scientist,Managerial Interview,Panelist 4,2025-09-21,10.0,9.0,Struggled with edge cases in coding round.,No,Yes
Candidate 402,Data Scientist,Offer,HR Team,2025-09-28,,,Declined due to delays in process.,N/A,No
Candidate 403,Data Scientist,Technical Interview,Panelist 1,2025-09-17,5.0,5.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 405,Data Scientist,Technical Interview,Panelist 4,2025-10-22,5.0,7.0,Needs improvement in code clarity.,Maybe,Yes
