CandidateName,AppliedRole,InterviewStage,Status,Feedback,Interviewer,RejectionReason,InterviewDate,ApplicationDate,DaysInPipeline,Source,SalaryExpectation,ResumeScore
Candidate 370,Data Scientist,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 7,Cultural misfit,2025-10-12,2025-09-18,24,Other,3066130,9
Candidate 371,Data Scientist,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 14,Delays in process,2025-10-15,2025-09-19,26,Internal,1549192,10
Candidate 372,Data Scientist,Screening,Rejected,,,Poor skill match,2025-10-08,2025-10-06,2,Naukri,2146929,10
Candidate 373,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 20,,2025-11-29,2025-11-02,27,Naukri,3408199,6
Candidate 374,Data Scientist,Managerial Interview,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 21,Cultural misfit,2025-11-04,2025-10-24,11,Referral,2244849,8
Candidate 375,Data Scientist,Offer,Rejected,"Strong problem-solving, explained DP well.",Panelist 22,Delays in process,2025-11-20,2025-11-08,12,Other,1772222,4
Candidate 376,Data Scientist,Offer,Accepted,"Strong problem-solving, explained system design well.",Panelist 12,,2025-10-03,2025-09-16,17,Naukri,3461231,5
Candidate 377,Data Scientist,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 12,Code test failed,2025-11-08,2025-11-02,6,Other,3357208,8
Candidate 378,Data Scientist,Screening,Rejected,,,Cultural misfit,2025-10-17,2025-10-16,1,Internal,1224369,10
Candidate 379,Data Scientist,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 22,Poor skill match,2025-10-03,2025-09-26,7,Internal,2589210,10
Candidate 380,Data Scientist,Managerial Interview,Rejected,Needs improvement in code clarity.,Panelist 24,Role withdrawn,2025-10-29,2025-10-15,14,Naukri,1852390,5
Candidate 381,Data Scientist,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 8,,2025-09-29,2025-09-20,9,Other,1959958,8
Candidate 382,Data Scientist,Technical Interview,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 24,Poor skill match,2025-10-24,2025-10-12,12,LinkedIn,1418651,8
Candidate 383,Data Scientist,Technical Interview,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 9,Cultural misfit,2025-10-05,2025-09-25,10,Naukri,1704802,10
Candidate 384,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 17,,2025-11-18,2025-10-24,25,LinkedIn,3225096,4
Candidate 385,Data Scientist,Screening,Rejected,,,Insufficient experience,2025-10-10,2025-10-04,6,Other,3110257,3
Candidate 386,Data Scientist,Managerial Interview,Rejected,Needs improvement in code clarity.,Panelist 11,Code test failed,2025-10-15,2025-10-01,14,LinkedIn,3437937,6
Candidate 387,Data Scientist,Managerial Interview,Rejected,Struggled with edge cases in coding round.,Panelist 9,Insufficient experience,2025-11-26,2025-11-08,18,Naukri,2373104,9
Candidate 388,Data Scientist,Offer,Rejected,"Strong problem-solving, explained API design well.",Panelist 21,Offer declined - better opportunity,2025-10-13,2025-09-23,20,Internal,1976063,10
Candidate 389,Data Scientist,Applied,Rejected,,,Poor skill match,2025-09-02,2025-09-02,0,Naukri,1550625,6
Candidate 390,Data Scientist,Online Assessment,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 11,Poor skill match,2025-09-19,2025-09-11,8,Other,2619310,10
Candidate 391,Data Scientist,Online Assessment,Rejected,"Strong problem-solving, explained API design well.",Panelist 21,Poor skill match,2025-10-28,2025-10-24,4,LinkedIn,3484394,6
Candidate 392,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 12,,2025-09-19,2025-09-10,9,Referral,2698657,10
Candidate 393,Data Scientist,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 20,,2025-11-18,2025-11-01,17,Naukri,2543251,8
Candidate 394,Data Scientist,Technical Interview,Rejected,Needs improvement in code clarity.,Panelist 5,Insufficient experience,2025-10-10,2025-09-29,11,Internal,3410171,8
Candidate 395,Data Scientist,Managerial Interview,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 25,Poor skill match,2025-11-14,2025-10-25,20,LinkedIn,1800106,6
Candidate 396,Data Scientist,Offer,Rejected,Needs improvement in time complexity.,Panelist 3,Cultural misfit,2025-09-23,2025-09-05,18,Naukri,1451661,10
Candidate 397,Data Scientist,Online Assessment,Rejected,Needs improvement in communication.,Panelist 3,Insufficient experience,2025-10-26,2025-10-19,7,Internal,2513612,8
Candidate 398,Data Scientist,Screening,Rejected,,,Role withdrawn,2025-10-11,2025-10-10,1,Other,1246040,9
Candidate 399,Data Scientist,Technical Interview,Rejected,Struggled with edge cases in coding round.,Panelist 17,Insufficient experience,2025-10-17,2025-10-10,7,LinkedIn,3229233,8
Candidate 400,Data Scientist,Applied,Rejected,,,Role withdrawn,2025-09-11,2025-09-11,0,Naukri,3142408,5
Candidate 401,Data Scientist,Offer,Accepted,Needs improvement in communication.,Panelist 13,,2025-10-20,2025-09-21,29,Naukri,2104489,8
Candidate 402,Data Scientist,Offer,Rejected,Struggled with edge cases in coding round.,Panelist 4,Delays in process,2025-09-28,2025-09-13,15,LinkedIn,3292589,10
Candidate 403,Data Scientist,Online Assessment,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 1,Cultural misfit,2025-09-17,2025-09-06,11,LinkedIn,2933062,5
Candidate 404,Data Scientist,Screening,Rejected,,,Role withdrawn,2025-11-06,2025-10-30,7,LinkedIn,2663551,7
Candidate 405,Data Scientist,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 25,,2025-11-09,2025-10-13,27,LinkedIn,2864907,7
Candidate 406,Data Scientist,Managerial Interview,Rejected,Needs improvement in time complexity.,Panelist 12,No show/interview abandoned,2025-10-21,2025-10-06,15,Naukri,1490493,10
Candidate 407,Data Scientist,Technical Interview,Rejected,Struggled with edge cases in coding round.,Panelist 17,Insufficient experience,2025-10-01,2025-09-19,12,Naukri,1526353,6
Candidate 408,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 16,,2025-11-30,2025-11-09,21,Naukri,2962346,2
Candidate 409,Data Scientist,Screening,Rejected,,,Poor skill match,2025-11-02,2025-10-26,7,Other,1882233,5
Candidate 410,Data Scientist,Screening,Rejected,,,Cultural misfit,2025-10-28,2025-10-23,5,LinkedIn,1268897,6
Candidate 411,Data Scientist,Offer,Rejected,Needs improvement in code clarity.,Panelist 10,Delays in process,2025-10-16,2025-09-28,18,Other,1336883,5
Candidate 412,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 8,,2025-11-08,2025-10-26,13,Referral,1914754,10
Candidate 413,Data Scientist,Screening,Rejected,,,Role withdrawn,2025-09-21,2025-09-20,1,LinkedIn,1307542,4
Candidate 414,Data Scientist,Online Assessment,Rejected,"Strong problem-solving, explained system design well.",Panelist 24,Poor skill match,2025-10-20,2025-10-16,4,Naukri,3102981,8
Candidate 415,Data Scientist,Online Assessment,Rejected,"Strong problem-solving, explained DP well.",Panelist 7,Role withdrawn,2025-09-21,2025-09-16,5,Other,1633771,10
Candidate 416,Data Scientist,Screening,Rejected,,,Insufficient experience,2025-10-13,2025-10-11,2,Internal,2773930,10
Candidate 417,Data Scientist,Technical Interview,Rejected,Needs improvement in time complexity.,Panelist 1,Poor skill match,2025-10-25,2025-10-15,10,Other,1331912,8
Candidate 418,Data Scientist,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 6,,2025-11-17,2025-10-30,18,Referral,2434471,10
Candidate 419,Data Scientist,Applied,Rejected,,,Code test failed,2025-10-28,2025-10-28,0,Referral,2768503,10
Candidate 420,Data Scientist,Screening,Rejected,,,Insufficient experience,2025-10-13,2025-10-08,5,Other,2918860,4
Candidate 421,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 7,,2025-10-01,2025-09-10,21,Referral,3000978,10
Candidate 422,Data Scientist,Offer,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 15,Delays in process,2025-11-18,2025-11-03,15,Naukri,1408288,6
Candidate 423,Data Scientist,Applied,Rejected,,,Code test failed,2025-10-11,2025-10-11,0,Referral,2650492,7
Candidate 424,Data Scientist,Screening,Rejected,,,Poor skill match,2025-09-17,2025-09-16,1,Internal,3269203,10
Candidate 425,Data Scientist,Online Assessment,Rejected,"Strong problem-solving, explained system design well.",Panelist 1,Code test failed,2025-11-06,2025-10-26,11,Naukri,1640971,10
Candidate 426,Data Scientist,Screening,Rejected,,,Insufficient experience,2025-10-10,2025-10-05,5,Other,2791975,5
Candidate 427,Data Scientist,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 21,,2025-11-30,2025-11-06,24,Other,2933480,5
Candidate 428,Data Scientist,Technical Interview,Rejected,"Strong problem-solving, explained system design well.",Panelist 3,Poor skill match,2025-11-17,2025-11-05,12,Other,3413102,5
Candidate 429,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 2,,2025-09-15,2025-09-04,11,Naukri,1269574,8
Candidate 430,Data Scientist,Screening,Rejected,,,Poor skill match,2025-10-04,2025-09-29,5,Naukri,1665915,4
Candidate 431,Data Scientist,Online Assessment,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 7,Role withdrawn,2025-11-01,2025-10-22,10,Referral,2149863,10
Candidate 432,Data Scientist,Offer,Accepted,Needs improvement in code clarity.,Panelist 20,,2025-10-13,2025-10-01,12,Internal,2480622,10
Candidate 433,Data Scientist,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 16,,2025-11-02,2025-10-13,20,Naukri,1814813,7
Candidate 434,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 14,,2025-10-20,2025-09-27,23,Internal,2707516,10
Candidate 435,Data Scientist,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 16,,2025-10-10,2025-09-19,21,Referral,1662172,10
Candidate 436,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 10,,2025-10-04,2025-09-19,15,LinkedIn,2335267,8
Candidate 437,Data Scientist,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 12,Cultural misfit,2025-11-07,2025-10-26,12,Referral,3134221,8
Candidate 438,Data Scientist,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 2,Compensation mismatch,2025-10-26,2025-10-09,17,LinkedIn,1789658,7
Candidate 439,Data Scientist,Online Assessment,Rejected,Needs improvement in time complexity.,Panelist 24,Poor skill match,2025-11-12,2025-11-03,9,Naukri,3365368,9
Candidate 440,Data Scientist,Offer,Accepted,Needs improvement in communication.,Panelist 4,,2025-10-23,2025-10-02,21,Other,1606275,6
Candidate 441,Data Scientist,Applied,Rejected,,,Cultural misfit,2025-10-20,2025-10-20,0,Other,3267641,5
Candidate 442,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 6,,2025-09-23,2025-09-04,19,Internal,1821455,10
Candidate 443,Data Scientist,Technical Interview,Rejected,"Strong problem-solving, explained DP well.",Panelist 12,Poor skill match,2025-10-25,2025-10-09,16,Internal,1787367,9
Candidate 444,Data Scientist,Online Assessment,Rejected,"Strong problem-solving, explained system design well.",Panelist 6,Role withdrawn,2025-10-20,2025-10-12,8,Internal,3198220,8
Candidate 445,Data Scientist,Online Assessment,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 19,Insufficient experience,2025-09-16,2025-09-04,12,LinkedIn,3051904,7
Candidate 446,Data Scientist,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 16,,2025-10-02,2025-09-13,19,LinkedIn,1301682,6
Candidate 447,Data Scientist,Managerial Interview,Rejected,"Strong problem-solving, explained API design well.",Panelist 17,Cultural misfit,2025-10-30,2025-10-13,17,LinkedIn,3291750,7
Candidate 448,Data Scientist,Applied,Rejected,,,Insufficient experience,2025-10-13,2025-10-13,0,Referral,2041005,10
Candidate 449,Data Scientist,Applied,Rejected,,,Role withdrawn,2025-09-08,2025-09-08,0,Other,2582481,9
Candidate 450,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 8,,2025-10-01,2025-09-10,21,LinkedIn,2650581,5
Candidate 451,Data Scientist,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 24,,2025-10-05,2025-09-16,19,Internal,2990269,9
Candidate 452,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 8,,2025-10-11,2025-09-16,25,Internal,3207819,10
Candidate 453,Data Scientist,Technical Interview,Rejected,"Strong problem-solving, explained system design well.",Panelist 3,Insufficient experience,2025-10-13,2025-09-27,16,Naukri,3385211,7
Candidate 454,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 14,,2025-11-08,2025-10-26,13,Internal,1973542,10
Candidate 455,Data Scientist,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 9,,2025-11-14,2025-10-30,15,Other,3376478,6
Candidate 456,Data Scientist,Technical Interview,Rejected,"Strong problem-solving, explained DP well.",Panelist 16,Role withdrawn,2025-10-26,2025-10-16,10,Internal,1355205,7
Candidate 457,Data Scientist,Screening,Rejected,,,Code test failed,2025-10-03,2025-09-30,3,Other,3046789,6
Candidate 458,Data Scientist,Applied,Rejected,,,Cultural misfit,2025-10-01,2025-10-01,0,Other,1387624,6
Candidate 459,Data Scientist,Offer,Accepted,"Strong problem-solving, explained DP well.",Panelist 6,,2025-11-03,2025-10-18,16,LinkedIn,3343438,8
Candidate 460,Data Scientist,Applied,Rejected,,,Role withdrawn,2025-10-19,2025-10-19,0,Referral,2101224,10
Candidate 461,Data Scientist,Offer,Accepted,Needs improvement in code clarity.,Panelist 9,,2025-09-28,2025-09-10,18,Naukri,2798405,7
Candidate 462,Data Scientist,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 19,Code test failed,2025-09-17,2025-09-10,7,Referral,3320822,10
Candidate 463,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 14,,2025-11-11,2025-10-24,18,Referral,2632655,9
Candidate 464,Data Scientist,Offer,Accepted,Needs improvement in communication.,Panelist 25,,2025-11-06,2025-10-14,23,LinkedIn,2612676,7
Candidate 465,Data Scientist,Applied,Rejected,,,Role withdrawn,2025-10-09,2025-10-09,0,Other,2371467,7
Candidate 466,Data Scientist,Screening,Rejected,,,Role withdrawn,2025-11-01,2025-10-25,7,Other,3331662,6
Candidate 467,Data Scientist,Online Assessment,Rejected,Needs improvement in communication.,Panelist 6,Role withdrawn,2025-10-14,2025-10-11,3,Naukri,3005805,4
Candidate 468,Data Scientist,Technical Interview,Rejected,Struggled with edge cases in coding round.,Panelist 23,Code test failed,2025-09-21,2025-09-06,15,Naukri,1314714,10
Candidate 469,Data Scientist,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 11,,2025-10-19,2025-09-29,20,LinkedIn,2683614,8
Candidate 470,Data Scientist,Technical Interview,Rejected,Struggled with edge cases in coding round.,Panelist 20,Code test failed,2025-10-17,2025-10-07,10,Naukri,3283421,9
Candidate 471,Data Scientist,Offer,Rejected,Struggled with edge cases in coding round.,Panelist 4,Compensation mismatch,2025-11-16,2025-10-21,26,Naukri,2425222,5
Candidate 472,Data Scientist,Technical Interview,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 18,Role withdrawn,2025-10-14,2025-10-04,10,Other,2555565,8
Candidate 473,Data Scientist,Offer,Accepted,"Strong problem-solving, explained DP well.",Panelist 14,,2025-11-04,2025-10-16,19,LinkedIn,2790430,9
Candidate 474,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 5,,2025-10-28,2025-10-05,23,Naukri,1341675,10
Candidate 475,Data Scientist,Managerial Interview,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 1,No show/interview abandoned,2025-10-20,2025-09-29,21,Other,3177196,5
Candidate 476,Data Scientist,Offer,Rejected,Needs improvement in code clarity.,Panelist 11,Compensation mismatch,2025-11-20,2025-11-02,18,Naukri,2071080,7
Candidate 477,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 1,,2025-09-19,2025-09-02,17,LinkedIn,2985523,6
Candidate 478,Data Scientist,Offer,Rejected,Struggled with edge cases in coding round.,Panelist 10,Delays in process,2025-11-25,2025-11-06,19,Other,2757149,9
Candidate 479,Data Scientist,Online Assessment,Rejected,"Strong problem-solving, explained API design well.",Panelist 18,Poor skill match,2025-11-04,2025-10-25,10,LinkedIn,2007993,6
Candidate 480,Data Scientist,Offer,Accepted,"Strong problem-solving, explained system design well.",Panelist 5,,2025-11-15,2025-10-20,26,Naukri,3390759,5
Candidate 481,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 9,,2025-11-25,2025-10-31,25,Other,2849396,5
Candidate 482,Data Scientist,Online Assessment,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 1,Code test failed,2025-10-22,2025-10-19,3,Other,2001045,4
Candidate 483,Data Scientist,Online Assessment,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 20,Role withdrawn,2025-10-12,2025-10-03,9,Internal,2870566,10
Candidate 484,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 11,,2025-10-01,2025-09-17,14,Naukri,1942004,5
Candidate 485,Data Scientist,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 1,Cultural misfit,2025-11-08,2025-10-27,12,Other,1818718,6
Candidate 486,Data Scientist,Offer,Accepted,Needs improvement in time complexity.,Panelist 21,,2025-10-04,2025-09-12,22,LinkedIn,1687636,9
Candidate 487,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 18,,2025-10-20,2025-10-08,12,Naukri,2344203,7
Candidate 488,Data Scientist,Applied,Rejected,,,Poor skill match,2025-09-28,2025-09-28,0,Naukri,2283027,4
Candidate 489,Data Scientist,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 12,,2025-10-26,2025-10-12,14,Other,1981925,4
Candidate 490,Data Scientist,Offer,Accepted,Needs improvement in time complexity.,Panelist 20,,2025-11-19,2025-11-01,18,Referral,2617164,10
Candidate 491,Data Scientist,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 18,,2025-10-01,2025-09-19,12,Referral,3123983,8
Candidate 492,Data Scientist,Online Assessment,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 1,Cultural misfit,2025-11-02,2025-10-25,8,Referral,2387804,7
Candidate 493,Data Scientist,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 4,,2025-10-18,2025-09-28,20,LinkedIn,2164998,7
Candidate 494,Data Scientist,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 4,,2025-11-25,2025-11-02,23,Internal,1248606,10
Candidate 495,Data Scientist,Offer,Accepted,"Strong problem-solving, explained DP well.",Panelist 11,,2025-09-27,2025-09-16,11,Internal,3024052,10
Candidate 496,Data Scientist,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 4,Cultural misfit,2025-11-06,2025-10-15,22,Internal,2352159,10
Candidate 497,Data Scientist,Online Assessment,Rejected,Needs improvement in time complexity.,Panelist 7,Cultural misfit,2025-11-15,2025-11-05,10,LinkedIn,2003811,2
Candidate 498,Data Scientist,Managerial Interview,Rejected,Struggled with edge cases in coding round.,Panelist 20,Code test failed,2025-10-20,2025-10-05,15,Naukri,2395009,4
Candidate 499,Data Scientist,Offer,Accepted,Needs improvement in communication.,Panelist 10,,2025-11-24,2025-11-03,21,Referral,2652765,10
Candidate 500,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 18,,2025-10-23,2025-10-01,22,Referral,3258383,7
